k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
12,1.5,0.5,0.8532346917135611,"{0: 0.8532346917135611, 1: 0.7851854975361291}",127.08253893724093,23.658730852999724,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.05,0.5,0.8226063071362826,"{0: 0.8226063071362826, 1: 0.7447800970332387}",124.12349685766334,26.05358661600621,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.10625,0.5,0.8358532941856885,"{0: 0.8358532941856885, 1: 0.7496727270048584}",124.73809249265982,32.60516697500134,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.1625,0.5,0.8348806723689196,"{0: 0.8348806723689196, 1: 0.7596579083535392}",125.24654096047624,30.760995463002477,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.21875,0.5,0.8333193316088787,"{0: 0.8333193316088787, 1: 0.7557477933203448}",124.99604445341105,27.171823475975543,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.275,0.5,0.822260423543443,"{0: 0.822260423543443, 1: 0.7461942861935894}",124.19005139230394,24.992229219991717,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.33125,0.5,0.8189911614067946,"{0: 0.8189911614067946, 1: 0.7596798800916474}",124.82940720132945,25.669789330044296,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.3875,0.5,0.8374175879642548,"{0: 0.8374175879642548, 1: 0.7487825955732241}",124.73125963826988,25.57352470298065,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.44375,0.5,0.8162320899784031,"{0: 0.8162320899784031, 1: 0.7608351424553974}",124.8175698183251,25.71443954796996,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,1.5,0.5,0.8195151872063863,"{0: 0.8195151872063863, 1: 0.752687933433016}",124.46568994646636,25.153875459975097,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.05,0.5,0.8054382522381155,"{0: 0.8054382522381155, 1: 0.7371843934376187}",123.18740640521162,28.74976868700469,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.10625,0.5,0.8074519494349678,"{0: 0.8074519494349678, 1: 0.7388141219988359}",123.39511169253448,27.39170088298852,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.1625,0.5,0.8074647592066105,"{0: 0.8074647592066105, 1: 0.7210928794015866}",122.42930156114886,27.300627430027816,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.21875,0.5,0.8267003130698064,"{0: 0.8267003130698064, 1: 0.7310062550503841}",123.48418908565256,27.72391504701227,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.275,0.5,0.8115693103053431,"{0: 0.8115693103053431, 1: 0.7206289633911903}",122.51441355492568,30.23962510400452,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.33125,0.5,0.7977634422064923,"{0: 0.7977634422064923, 1: 0.7299570095823441}",122.65368551114416,42.66968311200617,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.3875,0.5,0.7953012284588485,"{0: 0.7953012284588485, 1: 0.7297750182733123}",122.57721858610664,39.02026698197005,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,1.44375,0.5,0.8079277196593908,"{0: 0.8079277196593908, 1: 0.7163128861699853}",122.18077065190158,34.840549088025,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
